-29993,358819
358819,-456919
-456919,377061
377061,75755
75755,3911
3911,-456445
-456445,147056
147056,229713
229713,79594
79594,-455867
-455867,165476
165476,242698
242698,1
1,-176005
-176005,1
1,144100
144100,-167627
-167627,243377
243377,1
1,-453252
-453252,387824
387824,65429
65429,-246983
-246983,-118065
-118065,121672
121672,-2
-2,-212163
-212163,459423
459423,-457178
-457178,83614
83614,-85858
-85858,379787
379787,79638
79638,-380448
-380448,42056
42056,338572
338572,-79821
-79821,79896
79896,-183
-183,-459430
-459430,254104
254104,-199427
-199427,404757
404757,-59
-59,-456490
-456490,376834
376834,79706
79706,-456914
-456914,3255
3255,453842
453842,-456676
-456676,31446
31446,92406
92406,332606
332606,-456118
-456118,67373
67373,388948
388948,-456088
-456088,256100
256100,-203634
-203634,-53130
-53130,86370
86370,14278
14278,337929
337929,-289768
-289768,199173
199173,1
1,28881
28881,2
2,-67261
-67261,142989
142989,-147105
-147105,151221
151221,-147102
-147102,-2
-2,142986
142986,-455527
-455527,105
105,379698
379698,-377266
-377266,39704
39704,337590
337590,1
1,-376500
-376500,424341
424341,-425560
-425560,18362
18362,359322
359322,79688
79688,-457655
-457655,179314
179314,-143032
-143032,330196
330196,4
4,11486
11486,-325264
-325264,325262
325262,79801
79801,-456208
-456208,204166
204166,182098
182098,-165001
-165001,224058
224058,1
1,-68917
-68917,54858
54858,20829
20829,4143
4143,-457126
-457126,153624
153624,299361
299361,-26227
-26227,-273135
-273135,263915
263915,1
1,-19177
-19177,-3860
-3860,-397016
-397016,400877
400877,2
2,54633
54633,-54634
-54634,-237368
-237368,-159956
-159956,159955
159955,216300
216300,-258206
-258206,338117
338117,-456385
-456385,93604
93604,362708
362708,-457387
-457387,27080
27080,-29243
-29243,283655
283655,96056
96056,-376644
-376644,280589
280589,96054
96054,-295843
-295843,375726
375726,-241
-241,-455885
-455885,119085
119085,-120995
-120995,378151
378151,-376606
-376606,112912
112912,252065
252065,1
1,-242809
-242809,65075
65075,189359
189359,-163046
-163046,-214502
-214502,214501
214501,207102
207102,-179890
-179890,215522
215522,-106533
-106533,106661
106661,-459447
-459447,379628
379628,-377460
-377460,223762
223762,-226096
-226096,103
103,372100
372100,83314
83314,-452235
-452235,376536
376536,43
43,-7660
-7660,87409
87409,-456465
-456465,258630
258630,193743
193743,-75722
-75722,-113788
-113788,113784
113784,-376748
-376748,262963
262963,113784
113784,-377141
-377141,412046
412046,-210179
-210179,-45028
-45028,296012
296012,-44153
-44153,48347
48347,-44996
-44996,-2
-2,40803
40803,-455507
-455507,97
97,459560
459560,-456177
-456177,205727
205727,152329
152329,18261
18261,79827
79827,-456663
-456663,155227
155227,-133268
-133268,409434
409434,-54548
-54548,-294475
-294475,229379
229379,-312768
-312768,312769
312769,13182
13182,1
1,-10881
-10881,-150759
-150759,75137
75137,214184
214184,-217788
-217788,221668
221668,-218061
-218061,-2
-2,-241357
-241357,105
105,379654
379654,-377681
-377681,377680
377680,-378012
-378012,209823
209823,197723
197723,-29532
-29532,75742
75742,-120982
-120982,2327
2327,-2
-2,-336728
-336728,459413
459413,-456103
-456103,376330
376330,-379779
-379779,455523
455523,-7833
-7833,-447704
-447704,447705
447705,-21993
-21993,29792
29792,1
1,-29790
-29790,-423965
-423965,228266
228266,225490
225490,-34422
-34422,4629
4629,1
1,-425618
-425618,459632
459632,-456105
-456105,127236
127236,44457
44457,1
1,71029
71029,59640
59640,-170834
-170834,320460
320460,-323808
-323808,3351
3351,-2
-2,320458
320458,-455542
-455542,1
1,140
140,379580
379580,-359403
-359403,418721
418721,-439831
-439831,390566
390566,-26443
-26443,30568
30568,25062
25062,-25059
-25059,-2
-2,25062
25062,-15014
-15014,55539
55539,-4036
-4036,-455514
-455514,-1
-1,98
98,379678
379678,5
5,11602
11602,-11601
-11601,79635
79635,-456052
-456052,376412
376412,-172673
-172673,172676
172676,-376298
-376298,203623
203623,172669
172669,-1
-1,79904
79904,-457476
-457476,40039
40039,-1
-1,374731
374731,42681
42681,-244449
-244449,164570
164570,79929
79929,-457943
-457943,172011
172011,1
1,-89654
-89654,375441
375441,-457700
-457700,130404
130404,247508
247508,79757
79757,-457419
-457419,398706
398706,-199322
-199322,157118
